College name,College url,Establishment year,Total students,Course total students,Institution code
Whitehouse Institute of Design Australia,https://www.courseseeker.edu.au/institutions/whitehouse-institute-of-design-australia,,131,393.0,4401.0
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,,"11,593",16307.0,3004.0
William Angliss Institute of TAFE,https://www.courseseeker.edu.au/institutions/william-angliss-institute-of-tafe,,169,101.0,4394.0
Governance Institute of Australia,https://www.courseseeker.edu.au/institutions/governance-institute-of-australia,,,,
Flinders University,https://www.courseseeker.edu.au/institutions/flinders-university,,,0.0,3029.0
Gestalt Therapy Brisbane Pty Ltd,https://www.courseseeker.edu.au/institutions/gestalt-therapy-brisbane-pty-ltd,1980.0,23,,
Griffith College,https://www.courseseeker.edu.au/institutions/griffith-college,,739,0.0,4350.0
Federation University Australia,https://www.courseseeker.edu.au/institutions/federation-university-australia,,2532,86.0,2154.0
Gateway Business College,https://www.courseseeker.edu.au/institutions/gateway-business-college,,49,0.0,7630.0
Holmes Institute,https://www.courseseeker.edu.au/institutions/holmes-institute,,,0.0,4339.0
Higher Education Leadership Institute ,https://www.courseseeker.edu.au/institutions/higher-education-leadership-institute-,,,,
ISN Psychology,https://www.courseseeker.edu.au/institutions/isn-psychology,,50,0.0,6045.0
Health Education and Training Institute,https://www.courseseeker.edu.au/institutions/health-education-and-training-institute,,,25.0,7660.0
Holmesglen Institute of TAFE,https://www.courseseeker.edu.au/institutions/holmesglen-institute-of-tafe,1982.0,487,0.0,4383.0
Griffith University,https://www.courseseeker.edu.au/institutions/griffith-university,,6817,5028.0,3032.0
Institute of Health and Management Pty Ltd,https://www.courseseeker.edu.au/institutions/institute-of-health-and-management-pty-ltd,,,,
Ikon Institute of Australia,https://www.courseseeker.edu.au/institutions/ikon-institute-of-australia,,241,286.0,7197.0
JMC Academy,https://www.courseseeker.edu.au/institutions/jmc-academy,,715,774.0,4378.0
International College of Hotel Management,https://www.courseseeker.edu.au/institutions/international-college-of-hotel-management,,111,0.0,4362.0
"International College of Management, Sydney",https://www.courseseeker.edu.au/institutions/international-college-of-management-sydney,,286,263.0,4381.0
James Cook University,https://www.courseseeker.edu.au/institutions/james-cook-university,,2295,681.0,1019.0
Jazz Music Institute,https://www.courseseeker.edu.au/institutions/jazz-music-institute,1997.0,19,20.0,7014.0
Kaplan Business School ,https://www.courseseeker.edu.au/institutions/kaplan-business-school-,,245,211.0,4384.0
Kollel Academy of Advanced Jewish Education,https://www.courseseeker.edu.au/institutions/kollel-academy-of-advanced-jewish-education,,,0.0,6028.0
Kent Institute Australia,https://www.courseseeker.edu.au/institutions/kent-institute-australia,,275,399.0,4420.0
Kings Own Institute,https://www.courseseeker.edu.au/institutions/kings-own-institute,,2720,1283.0,4451.0
LCI Melbourne,https://www.courseseeker.edu.au/institutions/lci-melbourne,,128,0.0,4396.0
La Trobe College Australia,https://www.courseseeker.edu.au/institutions/la-trobe-college-australia,,596,0.0,4417.0
Leo Cussen Centre for Law,https://www.courseseeker.edu.au/institutions/leo-cussen-centre-for-law,,,,
Le Cordon Bleu Australia,https://www.courseseeker.edu.au/institutions/le-cordon-bleu-australia,,91,0.0,4421.0
Leaders Institute,https://www.courseseeker.edu.au/institutions/leaders-institute,,82,80.0,6052.0
La Trobe University,https://www.courseseeker.edu.au/institutions/la-trobe-university,,7532,975.0,3020.0
Macleay College,https://www.courseseeker.edu.au/institutions/macleay-college,,348,0.0,4386.0
Macquarie University,https://www.courseseeker.edu.au/institutions/macquarie-university,,9163,7337.0,3025.0
Mayfield Education,https://www.courseseeker.edu.au/institutions/mayfield-education,,,,
Marcus Oldham College,https://www.courseseeker.edu.au/institutions/marcus-oldham-college,,87,0.0,2170.0
