College name,College url,Course name,Course url,Course ID,Highest rank to receive an offer - ATAR,Median rank to receive an offer - ATAR,Lowest rank to receive an offer - ATAR,Highest rank to receive an offer - Selection Rank,Median rank to receive an offer - Selection Rank,Lowest rank to receive an offer - Selection Rank,Campus name,Campus latitude,Campus longitude,Intake year,Total students,Campus ID,Campus Code,Institution Code
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of International Studies/Bachelor of Social Science,https://www.courseseeker.edu.au/courses/bachelor-of-international-studies-bachelor-of-social-science-UAC724523,UAC724523,<5,<5,<5,<5,<5,<5,Parramatta,-33.80743900,151.02277100,2023,,3004-PA,PA,3004
Griffith University,https://www.courseseeker.edu.au/institutions/griffith-university,Bachelor of International Tourism and Hotel Management,https://www.courseseeker.edu.au/courses/bachelor-of-international-tourism-and-hotel-management-QTAC227961,QTAC227961,,,,,,,Nathan,-27.55947000,153.05646000,,,3032-GN,GN,3032
Western Sydney University,https://www.courseseeker.edu.au/institutions/western-sydney-university,Bachelor of International Studies/Bachelor of Laws,https://www.courseseeker.edu.au/courses/bachelor-of-international-studies-bachelor-of-laws-UAC725045,UAC725045,99.2,87.33,80.05,99.95,97.33,90.05,Parramatta,-33.80743900,151.02277100,2023,,3004-PA,PA,3004
Griffith University,https://www.courseseeker.edu.au/institutions/griffith-university,Bachelor of International Tourism and Hotel Management,https://www.courseseeker.edu.au/courses/bachelor-of-international-tourism-and-hotel-management-QTAC272025,QTAC272025,,,,,,,Online,,,,,3032-GI,GI,3032
Griffith University,https://www.courseseeker.edu.au/institutions/griffith-university,Bachelor of International Tourism and Hotel Management,https://www.courseseeker.edu.au/courses/bachelor-of-international-tourism-and-hotel-management-UAC283160,UAC283160,,,,,,,Nathan,-27.55947000,153.05646000,,,3032-GN,GN,3032
Griffith University,https://www.courseseeker.edu.au/institutions/griffith-university,Bachelor of International Tourism and Hotel Management,https://www.courseseeker.edu.au/courses/bachelor-of-international-tourism-and-hotel-management-UAC283126,UAC283126,81.65,66.98,60.70,87.65,71.33,63.60,Gold Coast,-27.96175000,153.38266000,2023,52,3032-GC,GC,3032
Griffith University,https://www.courseseeker.edu.au/institutions/griffith-university,Bachelor of International Tourism and Hotel Management,https://www.courseseeker.edu.au/courses/bachelor-of-international-tourism-and-hotel-management-UAC283809,UAC283809,56,56,56,64,64,64,Online,,,2023,6,3032-GI,GI,3032
Griffith University,https://www.courseseeker.edu.au/institutions/griffith-university,Bachelor of International Tourism and Hotel Management,https://www.courseseeker.edu.au/courses/bachelor-of-international-tourism-and-hotel-management-QTAC235101,QTAC235101,,,,,,,Gold Coast,-27.96175000,153.38266000,,,3032-GC,GC,3032
Griffith University,https://www.courseseeker.edu.au/institutions/griffith-university,Bachelor of International Tourism and Hotel Management/Bachelor of Business,https://www.courseseeker.edu.au/courses/bachelor-of-international-tourism-and-hotel-management-bachelor-of-business-QTAC227971,QTAC227971,81.40,72.10,64.25,87.40,78.10,70.55,Nathan,-27.55947000,153.05646000,2023,14,3032-GN,GN,3032
Griffith University,https://www.courseseeker.edu.au/institutions/griffith-university,Bachelor of International Tourism and Hotel Management/Bachelor of Business,https://www.courseseeker.edu.au/courses/bachelor-of-international-tourism-and-hotel-management-bachelor-of-business-QTAC235112,QTAC235112,89.70,79.10,67.70,97.70,84.10,75.70,Gold Coast,-27.96175000,153.38266000,2023,8,3032-GC,GC,3032
